BusinessPartner,Customer,Supplier,AcademicTitle,AuthorizationGroup,BusinessPartnerCategory,BusinessPartnerFullName,BusinessPartnerGrouping,BusinessPartnerName,BusinessPartnerUUID,CorrespondenceLanguage,CreatedByUser,CreationDate,CreationTime,FirstName,FormOfAddress,Industry,InternationalLocationNumber1,InternationalLocationNumber2,IsFemale,IsMale,IsNaturalPerson,IsSexUnknown,GenderCodeName,Language,LastChangeDate,LastChangeTime,LastChangedByUser,LastName,LegalForm,OrganizationBPName1,OrganizationBPName2,OrganizationBPName3,OrganizationBPName4,OrganizationFoundationDate,OrganizationLiquidationDate,SearchTerm1,SearchTerm2,AdditionalLastName,BirthDate,BusinessPartnerBirthDateStatus,BusinessPartnerBirthplaceName,BusinessPartnerDeathDate,BusinessPartnerIsBlocked,BusinessPartnerType,ETag,GroupBusinessPartnerName1,GroupBusinessPartnerName2,IndependentAddressID,InternationalLocationNumber3,MiddleName,NameCountry,NameFormat,PersonFullName,PersonNumber,IsMarkedForArchiving,BusinessPartnerIDByExtSystem,BusinessPartnerPrintFormat,BusinessPartnerOccupation,BusPartMaritalStatus,BusPartNationality,BusinessPartnerBirthName,BusinessPartnerSupplementName,NaturalPersonEmployerName,LastNamePrefix,LastNameSecondPrefix,Initials,BPDataControllerIsNotRequired,TradingPartner
r-10280224,r-10280224,r-10280224,0224,0224,4,BusinessPartnerFullName-10280224,0224,BusinessPartnerName-10280224,10280224-d29a-40b8-972a-68b6706b8151,24,ser-10280224,2000-09-20,22:59:53,FirstName-10280224,0224,y-10280224,0280224,80224,true,true,4,true,4,24,2012-07-01,22:59:53,ser-10280224,LastName-10280224,24,OrganizationBPName1-10280224,OrganizationBPName2-10280224,OrganizationBPName3-10280224,OrganizationBPName4-10280224,2009-09-23,2012-11-25,SearchTerm1-10280224,SearchTerm2-10280224,AdditionalLastName-10280224,2004-03-01,4,BusinessPartnerBirthplaceName-10280224,2006-10-04,true,0224,ETag-10280224,GroupBusinessPartnerName1-10280224,GroupBusinessPartnerName2-10280224,D-10280224,4,MiddleName-10280224,224,24,PersonFullName-10280224,r-10280224,true,ByExtSystem-10280224,4,0224,4,224,BusinessPartnerBirthName-10280224,0224,NaturalPersonEmployerName-10280224,0224,0224,s-10280224,true,280224
r-10280225,r-10280225,r-10280225,0225,0225,5,BusinessPartnerFullName-10280225,0225,BusinessPartnerName-10280225,10280225-40cb-4e7e-88a6-2f9a5f725c23,25,ser-10280225,2011-01-20,22:59:53,FirstName-10280225,0225,y-10280225,0280225,80225,false,false,5,false,5,25,2018-02-21,22:59:53,ser-10280225,LastName-10280225,25,OrganizationBPName1-10280225,OrganizationBPName2-10280225,OrganizationBPName3-10280225,OrganizationBPName4-10280225,2020-05-04,2020-08-12,SearchTerm1-10280225,SearchTerm2-10280225,AdditionalLastName-10280225,2022-02-25,5,BusinessPartnerBirthplaceName-10280225,2022-06-24,false,0225,ETag-10280225,GroupBusinessPartnerName1-10280225,GroupBusinessPartnerName2-10280225,D-10280225,5,MiddleName-10280225,225,25,PersonFullName-10280225,r-10280225,false,ByExtSystem-10280225,5,0225,5,225,BusinessPartnerBirthName-10280225,0225,NaturalPersonEmployerName-10280225,0225,0225,s-10280225,false,280225
r-10280226,r-10280226,r-10280226,0226,0226,6,BusinessPartnerFullName-10280226,0226,BusinessPartnerName-10280226,10280226-bb6c-4a50-8934-d383784bdf33,26,ser-10280226,2009-01-26,22:59:53,FirstName-10280226,0226,y-10280226,0280226,80226,true,true,6,true,6,26,2020-11-09,22:59:53,ser-10280226,LastName-10280226,26,OrganizationBPName1-10280226,OrganizationBPName2-10280226,OrganizationBPName3-10280226,OrganizationBPName4-10280226,2016-01-19,2002-11-26,SearchTerm1-10280226,SearchTerm2-10280226,AdditionalLastName-10280226,2011-09-03,6,BusinessPartnerBirthplaceName-10280226,2022-01-25,true,0226,ETag-10280226,GroupBusinessPartnerName1-10280226,GroupBusinessPartnerName2-10280226,D-10280226,6,MiddleName-10280226,226,26,PersonFullName-10280226,r-10280226,true,ByExtSystem-10280226,6,0226,6,226,BusinessPartnerBirthName-10280226,0226,NaturalPersonEmployerName-10280226,0226,0226,s-10280226,true,280226
r-10280227,r-10280227,r-10280227,0227,0227,7,BusinessPartnerFullName-10280227,0227,BusinessPartnerName-10280227,10280227-6a60-4f1b-a507-6354dce7b4c8,27,ser-10280227,2000-10-22,22:59:53,FirstName-10280227,0227,y-10280227,0280227,80227,false,false,7,false,7,27,2003-05-21,22:59:53,ser-10280227,LastName-10280227,27,OrganizationBPName1-10280227,OrganizationBPName2-10280227,OrganizationBPName3-10280227,OrganizationBPName4-10280227,2010-10-31,2021-09-18,SearchTerm1-10280227,SearchTerm2-10280227,AdditionalLastName-10280227,2010-11-14,7,BusinessPartnerBirthplaceName-10280227,2001-09-14,false,0227,ETag-10280227,GroupBusinessPartnerName1-10280227,GroupBusinessPartnerName2-10280227,D-10280227,7,MiddleName-10280227,227,27,PersonFullName-10280227,r-10280227,false,ByExtSystem-10280227,7,0227,7,227,BusinessPartnerBirthName-10280227,0227,NaturalPersonEmployerName-10280227,0227,0227,s-10280227,false,280227
r-10280228,r-10280228,r-10280228,0228,0228,8,BusinessPartnerFullName-10280228,0228,BusinessPartnerName-10280228,10280228-daa5-4a51-ac85-c1363c7dbda8,28,ser-10280228,2007-11-16,22:59:53,FirstName-10280228,0228,y-10280228,0280228,80228,true,true,8,true,8,28,2021-10-10,22:59:53,ser-10280228,LastName-10280228,28,OrganizationBPName1-10280228,OrganizationBPName2-10280228,OrganizationBPName3-10280228,OrganizationBPName4-10280228,2014-01-02,2000-02-13,SearchTerm1-10280228,SearchTerm2-10280228,AdditionalLastName-10280228,2005-03-21,8,BusinessPartnerBirthplaceName-10280228,2006-10-12,true,0228,ETag-10280228,GroupBusinessPartnerName1-10280228,GroupBusinessPartnerName2-10280228,D-10280228,8,MiddleName-10280228,228,28,PersonFullName-10280228,r-10280228,true,ByExtSystem-10280228,8,0228,8,228,BusinessPartnerBirthName-10280228,0228,NaturalPersonEmployerName-10280228,0228,0228,s-10280228,true,280228
r-10280229,r-10280229,r-10280229,0229,0229,9,BusinessPartnerFullName-10280229,0229,BusinessPartnerName-10280229,10280229-545a-46a8-8cbd-529db40bb766,29,ser-10280229,2000-08-28,22:59:53,FirstName-10280229,0229,y-10280229,0280229,80229,false,false,9,false,9,29,2014-05-01,22:59:53,ser-10280229,LastName-10280229,29,OrganizationBPName1-10280229,OrganizationBPName2-10280229,OrganizationBPName3-10280229,OrganizationBPName4-10280229,2015-09-27,2014-03-14,SearchTerm1-10280229,SearchTerm2-10280229,AdditionalLastName-10280229,2005-05-30,9,BusinessPartnerBirthplaceName-10280229,2022-11-24,false,0229,ETag-10280229,GroupBusinessPartnerName1-10280229,GroupBusinessPartnerName2-10280229,D-10280229,9,MiddleName-10280229,229,29,PersonFullName-10280229,r-10280229,false,ByExtSystem-10280229,9,0229,9,229,BusinessPartnerBirthName-10280229,0229,NaturalPersonEmployerName-10280229,0229,0229,s-10280229,false,280229
r-10280230,r-10280230,r-10280230,0230,0230,0,BusinessPartnerFullName-10280230,0230,BusinessPartnerName-10280230,10280230-7e3b-412e-ac52-34ea7a3b225c,30,ser-10280230,2006-05-30,22:59:53,FirstName-10280230,0230,y-10280230,0280230,80230,true,true,0,true,0,30,2013-07-03,22:59:53,ser-10280230,LastName-10280230,30,OrganizationBPName1-10280230,OrganizationBPName2-10280230,OrganizationBPName3-10280230,OrganizationBPName4-10280230,2004-08-16,2010-04-20,SearchTerm1-10280230,SearchTerm2-10280230,AdditionalLastName-10280230,2018-07-10,0,BusinessPartnerBirthplaceName-10280230,2011-07-22,true,0230,ETag-10280230,GroupBusinessPartnerName1-10280230,GroupBusinessPartnerName2-10280230,D-10280230,0,MiddleName-10280230,230,30,PersonFullName-10280230,r-10280230,true,ByExtSystem-10280230,0,0230,0,230,BusinessPartnerBirthName-10280230,0230,NaturalPersonEmployerName-10280230,0230,0230,s-10280230,true,280230
r-10280231,r-10280231,r-10280231,0231,0231,1,BusinessPartnerFullName-10280231,0231,BusinessPartnerName-10280231,10280231-7b9b-42e2-928f-8eff0c2c1053,31,ser-10280231,2015-07-26,22:59:53,FirstName-10280231,0231,y-10280231,0280231,80231,false,false,1,false,1,31,2021-01-24,22:59:53,ser-10280231,LastName-10280231,31,OrganizationBPName1-10280231,OrganizationBPName2-10280231,OrganizationBPName3-10280231,OrganizationBPName4-10280231,2006-12-20,2011-11-05,SearchTerm1-10280231,SearchTerm2-10280231,AdditionalLastName-10280231,2018-12-08,1,BusinessPartnerBirthplaceName-10280231,2007-01-24,false,0231,ETag-10280231,GroupBusinessPartnerName1-10280231,GroupBusinessPartnerName2-10280231,D-10280231,1,MiddleName-10280231,231,31,PersonFullName-10280231,r-10280231,false,ByExtSystem-10280231,1,0231,1,231,BusinessPartnerBirthName-10280231,0231,NaturalPersonEmployerName-10280231,0231,0231,s-10280231,false,280231
r-10280232,r-10280232,r-10280232,0232,0232,2,BusinessPartnerFullName-10280232,0232,BusinessPartnerName-10280232,10280232-539a-4e7d-8b96-47ff595ca3f1,32,ser-10280232,2008-02-26,22:59:53,FirstName-10280232,0232,y-10280232,0280232,80232,true,true,2,true,2,32,2008-11-20,22:59:53,ser-10280232,LastName-10280232,32,OrganizationBPName1-10280232,OrganizationBPName2-10280232,OrganizationBPName3-10280232,OrganizationBPName4-10280232,2012-06-30,2016-04-28,SearchTerm1-10280232,SearchTerm2-10280232,AdditionalLastName-10280232,2003-04-10,2,BusinessPartnerBirthplaceName-10280232,2020-09-17,true,0232,ETag-10280232,GroupBusinessPartnerName1-10280232,GroupBusinessPartnerName2-10280232,D-10280232,2,MiddleName-10280232,232,32,PersonFullName-10280232,r-10280232,true,ByExtSystem-10280232,2,0232,2,232,BusinessPartnerBirthName-10280232,0232,NaturalPersonEmployerName-10280232,0232,0232,s-10280232,true,280232
r-10280233,r-10280233,r-10280233,0233,0233,3,BusinessPartnerFullName-10280233,0233,BusinessPartnerName-10280233,10280233-9efe-4bf0-a969-f26707fd83d4,33,ser-10280233,2023-11-03,22:59:53,FirstName-10280233,0233,y-10280233,0280233,80233,false,false,3,false,3,33,2015-04-05,22:59:53,ser-10280233,LastName-10280233,33,OrganizationBPName1-10280233,OrganizationBPName2-10280233,OrganizationBPName3-10280233,OrganizationBPName4-10280233,2005-09-07,2006-11-05,SearchTerm1-10280233,SearchTerm2-10280233,AdditionalLastName-10280233,2007-09-08,3,BusinessPartnerBirthplaceName-10280233,2013-06-29,false,0233,ETag-10280233,GroupBusinessPartnerName1-10280233,GroupBusinessPartnerName2-10280233,D-10280233,3,MiddleName-10280233,233,33,PersonFullName-10280233,r-10280233,false,ByExtSystem-10280233,3,0233,3,233,BusinessPartnerBirthName-10280233,0233,NaturalPersonEmployerName-10280233,0233,0233,s-10280233,false,280233
r-10280234,r-10280234,r-10280234,0234,0234,4,BusinessPartnerFullName-10280234,0234,BusinessPartnerName-10280234,10280234-98e0-4994-8c56-68db5516fd6a,34,ser-10280234,2006-04-03,22:59:53,FirstName-10280234,0234,y-10280234,0280234,80234,true,true,4,true,4,34,2000-10-31,22:59:53,ser-10280234,LastName-10280234,34,OrganizationBPName1-10280234,OrganizationBPName2-10280234,OrganizationBPName3-10280234,OrganizationBPName4-10280234,2009-05-20,2020-06-20,SearchTerm1-10280234,SearchTerm2-10280234,AdditionalLastName-10280234,2015-10-15,4,BusinessPartnerBirthplaceName-10280234,2000-12-01,true,0234,ETag-10280234,GroupBusinessPartnerName1-10280234,GroupBusinessPartnerName2-10280234,D-10280234,4,MiddleName-10280234,234,34,PersonFullName-10280234,r-10280234,true,ByExtSystem-10280234,4,0234,4,234,BusinessPartnerBirthName-10280234,0234,NaturalPersonEmployerName-10280234,0234,0234,s-10280234,true,280234
r-10280235,r-10280235,r-10280235,0235,0235,5,BusinessPartnerFullName-10280235,0235,BusinessPartnerName-10280235,10280235-b71e-4cc0-8174-043c9d8d642e,35,ser-10280235,2009-11-04,22:59:53,FirstName-10280235,0235,y-10280235,0280235,80235,false,false,5,false,5,35,2000-11-22,22:59:53,ser-10280235,LastName-10280235,35,OrganizationBPName1-10280235,OrganizationBPName2-10280235,OrganizationBPName3-10280235,OrganizationBPName4-10280235,2004-05-08,2003-11-10,SearchTerm1-10280235,SearchTerm2-10280235,AdditionalLastName-10280235,2017-09-08,5,BusinessPartnerBirthplaceName-10280235,2016-06-13,false,0235,ETag-10280235,GroupBusinessPartnerName1-10280235,GroupBusinessPartnerName2-10280235,D-10280235,5,MiddleName-10280235,235,35,PersonFullName-10280235,r-10280235,false,ByExtSystem-10280235,5,0235,5,235,BusinessPartnerBirthName-10280235,0235,NaturalPersonEmployerName-10280235,0235,0235,s-10280235,false,280235
r-10280236,r-10280236,r-10280236,0236,0236,6,BusinessPartnerFullName-10280236,0236,BusinessPartnerName-10280236,10280236-b681-4ddd-9a15-d26a4bb4a6a0,36,ser-10280236,2015-11-08,22:59:53,FirstName-10280236,0236,y-10280236,0280236,80236,true,true,6,true,6,36,2004-05-19,22:59:53,ser-10280236,LastName-10280236,36,OrganizationBPName1-10280236,OrganizationBPName2-10280236,OrganizationBPName3-10280236,OrganizationBPName4-10280236,2003-09-04,2012-09-18,SearchTerm1-10280236,SearchTerm2-10280236,AdditionalLastName-10280236,2007-08-28,6,BusinessPartnerBirthplaceName-10280236,2012-07-13,true,0236,ETag-10280236,GroupBusinessPartnerName1-10280236,GroupBusinessPartnerName2-10280236,D-10280236,6,MiddleName-10280236,236,36,PersonFullName-10280236,r-10280236,true,ByExtSystem-10280236,6,0236,6,236,BusinessPartnerBirthName-10280236,0236,NaturalPersonEmployerName-10280236,0236,0236,s-10280236,true,280236
r-10280237,r-10280237,r-10280237,0237,0237,7,BusinessPartnerFullName-10280237,0237,BusinessPartnerName-10280237,10280237-4e48-4c37-a867-a95cb2aead09,37,ser-10280237,2014-06-27,22:59:53,FirstName-10280237,0237,y-10280237,0280237,80237,false,false,7,false,7,37,2021-03-28,22:59:53,ser-10280237,LastName-10280237,37,OrganizationBPName1-10280237,OrganizationBPName2-10280237,OrganizationBPName3-10280237,OrganizationBPName4-10280237,2022-08-08,2010-09-01,SearchTerm1-10280237,SearchTerm2-10280237,AdditionalLastName-10280237,2023-07-26,7,BusinessPartnerBirthplaceName-10280237,2018-12-14,false,0237,ETag-10280237,GroupBusinessPartnerName1-10280237,GroupBusinessPartnerName2-10280237,D-10280237,7,MiddleName-10280237,237,37,PersonFullName-10280237,r-10280237,false,ByExtSystem-10280237,7,0237,7,237,BusinessPartnerBirthName-10280237,0237,NaturalPersonEmployerName-10280237,0237,0237,s-10280237,false,280237
r-10280238,r-10280238,r-10280238,0238,0238,8,BusinessPartnerFullName-10280238,0238,BusinessPartnerName-10280238,10280238-8056-4fe6-9eae-b7547708db67,38,ser-10280238,2016-03-28,22:59:53,FirstName-10280238,0238,y-10280238,0280238,80238,true,true,8,true,8,38,2014-10-06,22:59:53,ser-10280238,LastName-10280238,38,OrganizationBPName1-10280238,OrganizationBPName2-10280238,OrganizationBPName3-10280238,OrganizationBPName4-10280238,2018-06-20,2010-03-20,SearchTerm1-10280238,SearchTerm2-10280238,AdditionalLastName-10280238,2008-10-14,8,BusinessPartnerBirthplaceName-10280238,2020-02-02,true,0238,ETag-10280238,GroupBusinessPartnerName1-10280238,GroupBusinessPartnerName2-10280238,D-10280238,8,MiddleName-10280238,238,38,PersonFullName-10280238,r-10280238,true,ByExtSystem-10280238,8,0238,8,238,BusinessPartnerBirthName-10280238,0238,NaturalPersonEmployerName-10280238,0238,0238,s-10280238,true,280238
r-10280239,r-10280239,r-10280239,0239,0239,9,BusinessPartnerFullName-10280239,0239,BusinessPartnerName-10280239,10280239-a2df-4f40-a3fa-fd35a48b995a,39,ser-10280239,2006-12-22,22:59:53,FirstName-10280239,0239,y-10280239,0280239,80239,false,false,9,false,9,39,2014-12-04,22:59:53,ser-10280239,LastName-10280239,39,OrganizationBPName1-10280239,OrganizationBPName2-10280239,OrganizationBPName3-10280239,OrganizationBPName4-10280239,2012-06-28,2011-10-21,SearchTerm1-10280239,SearchTerm2-10280239,AdditionalLastName-10280239,2016-10-04,9,BusinessPartnerBirthplaceName-10280239,2008-11-19,false,0239,ETag-10280239,GroupBusinessPartnerName1-10280239,GroupBusinessPartnerName2-10280239,D-10280239,9,MiddleName-10280239,239,39,PersonFullName-10280239,r-10280239,false,ByExtSystem-10280239,9,0239,9,239,BusinessPartnerBirthName-10280239,0239,NaturalPersonEmployerName-10280239,0239,0239,s-10280239,false,280239
